Designator,Mid X,Mid Y,Rotation,Layer
D392,166.0,-136.0,0.0,top
D393,87.0,-139.0,0.0,top
D394,90.0,-139.0,0.0,top
D395,93.0,-139.0,0.0,top
D396,96.0,-139.0,0.0,top
D401,99.0,-139.0,0.0,top
D402,102.0,-139.0,0.0,top
D403,105.0,-139.0,0.0,top
D404,108.0,-139.0,0.0,top
D405,111.0,-139.0,0.0,top
D406,114.0,-139.0,0.0,top
D407,117.0,-139.0,0.0,top
D408,120.0,-139.0,0.0,top
D409,123.0,-139.0,0.0,top
D410,126.0,-139.0,0.0,top
D411,129.0,-139.0,0.0,top
D412,132.0,-139.0,0.0,top
D413,135.0,-139.0,0.0,top
D414,138.0,-139.0,0.0,top
D415,141.0,-139.0,0.0,top
D416,144.0,-139.0,0.0,top
D417,147.0,-139.0,0.0,top
D418,150.0,-139.0,0.0,top
D419,153.0,-139.0,0.0,top
D420,156.0,-139.0,0.0,top
D421,86.0,-142.0,0.0,top
D422,89.0,-142.0,0.0,top
D423,92.0,-142.0,0.0,top
D424,95.0,-142.0,0.0,top
D425,98.0,-142.0,0.0,top
D426,101.0,-142.0,0.0,top
D427,104.0,-142.0,0.0,top
D428,107.0,-142.0,0.0,top
D429,110.0,-142.0,0.0,top
D430,113.0,-142.0,0.0,top
D431,116.0,-142.0,0.0,top
D432,119.0,-142.0,0.0,top
D433,122.0,-142.0,0.0,top
D434,125.0,-142.0,0.0,top
D435,128.0,-142.0,0.0,top
D436,131.0,-142.0,0.0,top
D437,134.0,-142.0,0.0,top
D438,137.0,-142.0,0.0,top
D439,140.0,-142.0,0.0,top
D440,143.0,-142.0,0.0,top
D441,146.0,-142.0,0.0,top
D442,85.0,-145.0,0.0,top
D443,88.0,-145.0,0.0,top
D444,91.0,-145.0,0.0,top
D445,94.0,-145.0,0.0,top
D446,97.0,-145.0,0.0,top
D447,100.0,-145.0,0.0,top
D448,103.0,-145.0,0.0,top
D449,106.0,-145.0,0.0,top
D450,109.0,-145.0,0.0,top
D451,112.0,-145.0,0.0,top
D452,115.0,-145.0,0.0,top
D453,118.0,-145.0,0.0,top
D454,121.0,-145.0,0.0,top
D455,124.0,-145.0,0.0,top
D456,127.0,-145.0,0.0,top
D457,130.0,-145.0,0.0,top
D458,133.0,-145.0,0.0,top
D459,136.0,-145.0,0.0,top
D460,96.0,-148.0,0.0,top
D461,99.0,-148.0,0.0,top
D462,102.0,-148.0,0.0,top
D463,105.0,-148.0,0.0,top
D464,108.0,-148.0,0.0,top
D465,111.0,-148.0,0.0,top
D466,114.0,-148.0,0.0,top
D467,117.0,-148.0,0.0,top
D468,120.0,-148.0,0.0,top
D469,123.0,-148.0,0.0,top
D470,126.0,-148.0,0.0,top
D471,129.0,-148.0,0.0,top
D472,104.0,-151.0,0.0,top
D473,107.0,-151.0,0.0,top
D474,110.0,-151.0,0.0,top
D475,113.0,-151.0,0.0,top
D476,116.0,-151.0,0.0,top
D477,119.0,-151.0,0.0,top
J101,147.883488,-146.608004,108.5,bottom
J102,100.733677,-156.060694,161.0,bottom
