Designator,Mid X,Mid Y,Rotation,Layer
D252,158.0,-124.0,180.0,bottom
D253,155.0,-124.0,180.0,bottom
D254,152.0,-124.0,180.0,bottom
D255,149.0,-124.0,180.0,bottom
D256,146.0,-124.0,180.0,bottom
D257,143.0,-124.0,180.0,bottom
D258,140.0,-124.0,180.0,bottom
D259,137.0,-124.0,180.0,bottom
D260,134.0,-124.0,180.0,bottom
D261,131.0,-124.0,180.0,bottom
D262,128.0,-124.0,180.0,bottom
D263,125.0,-124.0,180.0,bottom
D264,122.0,-124.0,180.0,bottom
D265,119.0,-124.0,180.0,bottom
D266,116.0,-124.0,180.0,bottom
D267,113.0,-124.0,180.0,bottom
D268,110.0,-124.0,180.0,bottom
D269,107.0,-124.0,180.0,bottom
D270,104.0,-124.0,180.0,bottom
D271,101.0,-124.0,180.0,bottom
D272,98.0,-124.0,180.0,bottom
D273,95.0,-124.0,180.0,bottom
D274,92.0,-124.0,180.0,bottom
D275,175.0,-127.0,180.0,bottom
D276,172.0,-127.0,180.0,bottom
D277,169.0,-127.0,180.0,bottom
D278,166.0,-127.0,180.0,bottom
D279,163.0,-127.0,180.0,bottom
D280,160.0,-127.0,180.0,bottom
D281,157.0,-127.0,180.0,bottom
D282,154.0,-127.0,180.0,bottom
D283,151.0,-127.0,180.0,bottom
D284,148.0,-127.0,180.0,bottom
D285,145.0,-127.0,180.0,bottom
D286,142.0,-127.0,180.0,bottom
D287,139.0,-127.0,180.0,bottom
D288,136.0,-127.0,180.0,bottom
D289,133.0,-127.0,180.0,bottom
D290,130.0,-127.0,180.0,bottom
D291,127.0,-127.0,180.0,bottom
D292,124.0,-127.0,180.0,bottom
D293,121.0,-127.0,180.0,bottom
D294,118.0,-127.0,180.0,bottom
D295,115.0,-127.0,180.0,bottom
D296,112.0,-127.0,180.0,bottom
D301,109.0,-127.0,180.0,bottom
D302,106.0,-127.0,180.0,bottom
D303,103.0,-127.0,180.0,bottom
D304,100.0,-127.0,180.0,bottom
D305,97.0,-127.0,180.0,bottom
D306,94.0,-127.0,180.0,bottom
D307,91.0,-127.0,180.0,bottom
D308,174.0,-130.0,180.0,bottom
D309,171.0,-130.0,180.0,bottom
D310,168.0,-130.0,180.0,bottom
D311,165.0,-130.0,180.0,bottom
D312,162.0,-130.0,180.0,bottom
D313,159.0,-130.0,180.0,bottom
D314,156.0,-130.0,180.0,bottom
D315,153.0,-130.0,180.0,bottom
D316,150.0,-130.0,180.0,bottom
D317,147.0,-130.0,180.0,bottom
D318,144.0,-130.0,180.0,bottom
D319,141.0,-130.0,180.0,bottom
D320,138.0,-130.0,180.0,bottom
D321,135.0,-130.0,180.0,bottom
D322,132.0,-130.0,180.0,bottom
D323,129.0,-130.0,180.0,bottom
D324,126.0,-130.0,180.0,bottom
D325,123.0,-130.0,180.0,bottom
D326,120.0,-130.0,180.0,bottom
D327,117.0,-130.0,180.0,bottom
D328,114.0,-130.0,180.0,bottom
D329,111.0,-130.0,180.0,bottom
D330,108.0,-130.0,180.0,bottom
D331,105.0,-130.0,180.0,bottom
D332,102.0,-130.0,180.0,bottom
D333,99.0,-130.0,180.0,bottom
D334,96.0,-130.0,180.0,bottom
D335,93.0,-130.0,180.0,bottom
D336,90.0,-130.0,180.0,bottom
D337,173.0,-133.0,180.0,bottom
D338,170.0,-133.0,180.0,bottom
D339,167.0,-133.0,180.0,bottom
D340,164.0,-133.0,180.0,bottom
D341,161.0,-133.0,180.0,bottom
D342,158.0,-133.0,180.0,bottom
D343,155.0,-133.0,180.0,bottom
D344,152.0,-133.0,180.0,bottom
D345,149.0,-133.0,180.0,bottom
D346,146.0,-133.0,180.0,bottom
D347,143.0,-133.0,180.0,bottom
D348,140.0,-133.0,180.0,bottom
D349,137.0,-133.0,180.0,bottom
D350,134.0,-133.0,180.0,bottom
D351,131.0,-133.0,180.0,bottom
D352,128.0,-133.0,180.0,bottom
D353,125.0,-133.0,180.0,bottom
D354,122.0,-133.0,180.0,bottom
D355,119.0,-133.0,180.0,bottom
D356,116.0,-133.0,180.0,bottom
D357,113.0,-133.0,180.0,bottom
D358,110.0,-133.0,180.0,bottom
D359,107.0,-133.0,180.0,bottom
D360,104.0,-133.0,180.0,bottom
D361,101.0,-133.0,180.0,bottom
D362,98.0,-133.0,180.0,bottom
D363,95.0,-133.0,180.0,bottom
D364,92.0,-133.0,180.0,bottom
D365,89.0,-133.0,180.0,bottom
D366,166.0,-136.0,180.0,bottom
D367,163.0,-136.0,180.0,bottom
D368,160.0,-136.0,180.0,bottom
D369,157.0,-136.0,180.0,bottom
D370,154.0,-136.0,180.0,bottom
D371,151.0,-136.0,180.0,bottom
D372,148.0,-136.0,180.0,bottom
D373,145.0,-136.0,180.0,bottom
D374,142.0,-136.0,180.0,bottom
D375,139.0,-136.0,180.0,bottom
D376,136.0,-136.0,180.0,bottom
D377,133.0,-136.0,180.0,bottom
D378,130.0,-136.0,180.0,bottom
D379,127.0,-136.0,180.0,bottom
D380,124.0,-136.0,180.0,bottom
D381,121.0,-136.0,180.0,bottom
D382,118.0,-136.0,180.0,bottom
D383,115.0,-136.0,180.0,bottom
D384,112.0,-136.0,180.0,bottom
D385,109.0,-136.0,180.0,bottom
D386,106.0,-136.0,180.0,bottom
D387,103.0,-136.0,180.0,bottom
D388,100.0,-136.0,180.0,bottom
D389,97.0,-136.0,180.0,bottom
D390,94.0,-136.0,180.0,bottom
D391,91.0,-136.0,180.0,bottom
D392,88.0,-136.0,180.0,bottom
D393,156.0,-139.0,180.0,bottom
D394,153.0,-139.0,180.0,bottom
D395,150.0,-139.0,180.0,bottom
D396,147.0,-139.0,180.0,bottom
D401,144.0,-139.0,180.0,bottom
D402,141.0,-139.0,180.0,bottom
D403,138.0,-139.0,180.0,bottom
D404,135.0,-139.0,180.0,bottom
D405,132.0,-139.0,180.0,bottom
D406,129.0,-139.0,180.0,bottom
D407,126.0,-139.0,180.0,bottom
D408,123.0,-139.0,180.0,bottom
D409,120.0,-139.0,180.0,bottom
D410,117.0,-139.0,180.0,bottom
D411,114.0,-139.0,180.0,bottom
D412,111.0,-139.0,180.0,bottom
D413,108.0,-139.0,180.0,bottom
D414,105.0,-139.0,180.0,bottom
D415,102.0,-139.0,180.0,bottom
D416,99.0,-139.0,180.0,bottom
D417,96.0,-139.0,180.0,bottom
D418,93.0,-139.0,180.0,bottom
D419,90.0,-139.0,180.0,bottom
D420,87.0,-139.0,180.0,bottom
D421,146.0,-142.0,180.0,bottom
D422,143.0,-142.0,180.0,bottom
D423,140.0,-142.0,180.0,bottom
D424,137.0,-142.0,180.0,bottom
D425,134.0,-142.0,180.0,bottom
D426,131.0,-142.0,180.0,bottom
D427,128.0,-142.0,180.0,bottom
D428,125.0,-142.0,180.0,bottom
D429,122.0,-142.0,180.0,bottom
D430,119.0,-142.0,180.0,bottom
D431,116.0,-142.0,180.0,bottom
D432,113.0,-142.0,180.0,bottom
D433,110.0,-142.0,180.0,bottom
D434,107.0,-142.0,180.0,bottom
D435,104.0,-142.0,180.0,bottom
D436,101.0,-142.0,180.0,bottom
D437,98.0,-142.0,180.0,bottom
D438,95.0,-142.0,180.0,bottom
D439,92.0,-142.0,180.0,bottom
D440,89.0,-142.0,180.0,bottom
D441,86.0,-142.0,180.0,bottom
D442,139.0,-145.0,180.0,bottom
D443,136.0,-145.0,180.0,bottom
D444,133.0,-145.0,180.0,bottom
D445,130.0,-145.0,180.0,bottom
D446,127.0,-145.0,180.0,bottom
D447,124.0,-145.0,180.0,bottom
D448,121.0,-145.0,180.0,bottom
D449,118.0,-145.0,180.0,bottom
D450,115.0,-145.0,180.0,bottom
D451,112.0,-145.0,180.0,bottom
D452,109.0,-145.0,180.0,bottom
D453,106.0,-145.0,180.0,bottom
D454,103.0,-145.0,180.0,bottom
D455,100.0,-145.0,180.0,bottom
D456,97.0,-145.0,180.0,bottom
D457,94.0,-145.0,180.0,bottom
D458,91.0,-145.0,180.0,bottom
D459,88.0,-145.0,180.0,bottom
D460,129.0,-148.0,180.0,bottom
D461,126.0,-148.0,180.0,bottom
D462,123.0,-148.0,180.0,bottom
D463,120.0,-148.0,180.0,bottom
D464,117.0,-148.0,180.0,bottom
D465,114.0,-148.0,180.0,bottom
D466,111.0,-148.0,180.0,bottom
D467,108.0,-148.0,180.0,bottom
D468,105.0,-148.0,180.0,bottom
D469,102.0,-148.0,180.0,bottom
D470,99.0,-148.0,180.0,bottom
D471,96.0,-148.0,180.0,bottom
D472,119.0,-151.0,180.0,bottom
D473,116.0,-151.0,180.0,bottom
D474,113.0,-151.0,180.0,bottom
D475,110.0,-151.0,180.0,bottom
D476,107.0,-151.0,180.0,bottom
D477,104.0,-151.0,180.0,bottom
J101,131.745724,-152.390362,108.0,top
J102,100.757882,-155.845081,161.5,top
